Run Number,Ratio
6509,0.0
7146,0.028
7147,0.0
7148,0.0
7149,0.0
7150,0.0
7151,0.0
7152,0.0
7153,0.0
7154,0.0
7155,0.0
7156,0.0
7157,0.0
7171,0.024
7172,0.007
7173,0.0
7174,0.0
7175,0.0
7176,0.0
7177,0.0
7178,0.0
7179,0.0
7180,0.0
7181,0.0
7182,0.0
7183,0.0
7184,0.0
7185,0.0
7186,0.0
7187,0.0
7188,0.0
7189,0.0
7190,0.0
7191,0.0
7192,0.0
7193,0.0
7194,0.0
7195,0.006
7196,0.0
7197,0.0
7198,0.0
7199,0.005
7200,0.0
7201,0.0
7202,0.0
7203,0.0
7204,0.0
7205,0.0
7206,0.0
7207,0.0
7208,0.0
7209,0.0
7210,0.0
7211,0.0
7212,0.0
7213,0.0
7214,0.0
7215,0.0
7216,0.0
7217,0.0
7218,0.0
7219,0.0
7220,0.0
7221,0.0
7222,0.0
7223,0.0
7224,0.0
7225,0.0
7226,0.0
7227,0.0
7228,0.0
7229,0.0
7230,0.0
7231,0.0
7232,0.0
7233,0.0
7234,0.0
7235,0.0
7236,0.0
7237,0.0
7238,0.0
7239,0.0
7240,0.0
7241,0.0
7242,0.0
7243,0.0
7244,0.0
7245,0.0
7246,0.0
7247,0.0
7248,0.0
7249,0.0
7250,0.0
7251,0.0
7252,0.0
7253,0.0
